user_id,session_id,subscription_type,user_journey
153570,943305-3593417,Annual,Sign up-Coupon
156771,3636473-3636531,Annual,Coupon
156880,245118-977554-977594-1152549-1152628-1152639-2199891-2199961-2248831-2484998-2567210-2576528-2617828-4099513-4099563-4099601-4099628-4099661-4099676-4099832-4099889-4099894-4099967-4099975-4100080-4106909,Monthly,Courses-Pricing-Homepage-Career tracks-Courses-Homepage-Log in-Other-Resources center-Log in-Other-Log in-Homepage-Sign up-Homepage-Log in-Other-Pricing-Log in-Checkout-Log in-Other-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Other-Checkout
157143,422686-422707-627313-627458-630201-632720-632723-632731-632733-638698-683605-742892-2264209-2264305-3152368-3179670-3374457-3374519-3377651-3377667-3377677-3377691-3381890-3381931-3385971-3388143-3389625-3402943-3408865-3408873-3419969-3420902-3420949-3420965-3421016-3421882-3424186-3424239-3424265,Annual,Homepage-Upcoming courses-Log in-Sign up-Upcoming courses-Pricing-Checkout-Pricing-Log in-Coupon-Homepage-Career tracks-Courses-Log in-Courses-Log in-Courses-Upcoming courses-Resources center-Career track certificate-Career tracks-Career track certificate-Pricing-Checkout-Pricing-Courses-Log in-Pricing-Other-Pricing-Other-Pricing-Resources center-Other-Log in-Pricing-Checkout-Log in-Pricing-Checkout-Pricing-Checkout-Pricing-Log in-Other-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Log in-Other-Pricing-Log in-Coupon
158113,436019-441966-454755-456312-946346-3426995-3427842,Monthly,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
160910,129728-153635-754507-754510-1143166-1670920-1958179-1981915-2576808-2996542-3771800-4742251-4778292,Annual,Homepage-Course certificate-Courses-Resources center-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Courses-Sign up-Homepage-Log in-Coupon
161329,3550941-3559375-3559412-3577551-3577564-3577601,Annual,Homepage-Resources center-Homepage-Other-Pricing-Sign up-Pricing-Courses-Career track certificate-Career tracks-Sign up-Career tracks-Sign up-Career tracks-Pricing-Log in-Homepage-Courses-Homepage-Log in-Checkout
161523,4264873-4282451,Monthly,Homepage-Pricing-Sign up-Checkout
161548,1152376-3742909-4830371,Annual,Other-Courses-Sign up-Log in-Coupon
162545,4084476-4328485-4330859-4383064-4397860-4508537-4537070-4546335-4707448,Monthly,Checkout-Courses-Career track certificate-Career tracks-Homepage-Career track certificate-Career tracks-Course certificate-Courses-Log in-Courses-Log in-Courses-Log in-Courses-Log in-Checkout
171697,3669223,Annual,Coupon
172645,4092362-4092373-4781950-4781973-4782014-4782020-4782027-4786858-4787149-4788056-4788098-4792285-4792750-4792848-4792889,Annual,Sign up-Pricing-Checkout-Homepage-Sign up-Checkout-Coupon-Checkout-Coupon
182313,134803-1014200-1014363-1015253-1015728-1016612-1071965-3642352,Annual,Resources center-Log in-Resources center-Log in-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Log in-Coupon
185224,1324583-2370834-3609479-3610080-3610151,Annual,Log in-Homepage-Log in-Homepage-Log in-Checkout
185236,3852016-3852158-3852223-3852397-3852418-3852421,Annual,Homepage-Course certificate-Courses-Log in-Sign up-Courses-Sign up-Log in-Checkout
185890,476610-476626-487853-494318-508391-929840-1446838-1446892-1745352-1797237-1982345-2045670-2188727-2391766-2422224-2517465-2732760-2745077-3220843-3611919-3611963-4245102-4278301-4278321-4330244,Annual,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Coupon-Log in-Resources center-Other-Coupon-Log in-Pricing-Career track certificate-Career tracks-Sign up-Log in-Coupon-Log in-Coupon
188451,3620077-3620134,Annual,Checkout-Homepage-Log in-Checkout
191962,2773551-4298324-4309344-4503643-4830447-4830455,Annual,Log in-Homepage-Log in-Homepage-About us-Other
195227,503659-503670-655770-655812-655818-655820-656312-713713-713726-713774-718390-1154355-1154956-1188449-1276145-1408701-1626851-1854718-2176346-3615784-3615961,Annual,Log in-Resources center-Other-Resources center-Other-Sign up-Blog-Other-Resources center-Other-Coupon-Checkout-Coupon-Log in-Homepage-Career tracks-Sign up-Career tracks-Coupon
202020,54892-476263-1137098-1273437-1349614-2346350-2389734-2551192-3341542-3657113-3657307-3664640,Annual,Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Other-Log in-Homepage-Log in-Checkout-Coupon
203365,1162779-1248119-1248218-1528408-1529752-1572873-1769956-1883218-2020684-2222990-2381263-2584658-2659449-3909384-4227300-4240970-4240995-4270856-4407361-4410129-4411366-4417934-4418107-4436099-4437430-4437575-4439297-4439448-4439798,Annual,Homepage-Career track certificate-Sign up-Homepage-Courses-Upcoming courses-Courses-Log in-Homepage-Sign up-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Courses-Log in-Other-Coupon-Homepage-Pricing-Homepage-Career track certificate-Log in-Coupon-Checkout-Coupon
204731,1522993,Annual,Other-Log in
209680,538271-709427-709441-739505-1392596-1736750-2351361-2532559-2532583-2532650-2709790-3408026-3459569-3459627-3459673-3460425,Annual,Homepage-Log in-Sign up-Log in-Other-Log in-Homepage-Log in-Other-Log in-Checkout-Other-Log in-Other-Resources center-Other-Resources center-Other-Log in-Other-Log in-Checkout
212532,3615247-3615449-3615957,Annual,Coupon-Homepage-Log in-Other-Coupon
217381,3755146,Annual,Coupon
219706,1487594-4083656-4089893-4089902-4093799-4099827-4099923-4099939-4099950-4105641-4105658,Monthly,Other-Homepage-Pricing-Homepage-Sign up-Homepage-Career tracks-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout
220511,3918994-3995377-4000183-4028795-4028808,Annual,Pricing-Log in-Homepage-Log in-Coupon-Checkout
220744,3647311-3699391-3699432,Annual,Coupon
222389,936680-3269946-3272384-3684615-3684645-4061136-4061169-4088553-4095448-4113365-4126258-4137455-4138168-4139677-4140838-4158598-4158603-4158612-4158659-4158748-4173813-4177112-4209121,Annual,Other-Career track certificate-Course certificate-Sign up-Log in-Homepage-Pricing-Checkout-Coupon-Log in-Checkout-Homepage-Career track certificate-Career tracks-Homepage-Career track certificate-Homepage-Career tracks-Homepage-Other-Pricing-Checkout-Homepage-Checkout-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Checkout-Other-Pricing-Checkout-Homepage-Log in-Checkout
223121,3340688-3354220-3354280-3354299-3380286-3392353-3396734-3444031,Monthly,Homepage-Pricing-Homepage-Other-Homepage-Pricing-Career tracks-Pricing-Sign up-Log in-Coupon
223597,99991-123232-173015-630346-3554494-3554824-3554841,Monthly,Other-Log in-Homepage-Sign up-Homepage-Log in-Pricing-Log in-Homepage-Log in-Coupon
223721,481641-505759-595824-620468-679491-874372-941283-1060072-3690189-3690317-3699037,Annual,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Log in-Checkout
223777,1122504-1150478-1737787-1870043-1947996-2367797-2440337-2497970-4127667-4127784-4127876-4127928,Monthly,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
223883,1858556-1987008-1987160-1996141-2018152-2110831-2569238-2702494-3161253-3161821-3321695-3392081-3502685-3502698-3512181-3512285-3784038-3784043-4531453-4531494-4762099-4762103,Annual,Other-Log in-Homepage-Log in-Checkout-Homepage-Log in-Checkout-Log in-Other-Course certificate-Career track certificate-Checkout-Log in-Homepage-Log in-Other-Homepage-Log in-Checkout
226950,498439-1254659-1254775-3615932,Annual,Log in-Other-Homepage-Log in-Coupon
227784,2782330-3628411-3705080-3725382-3726149,Annual,Course certificate-Career track certificate-Career tracks-Course certificate-Homepage-Pricing-Homepage-Pricing-Sign up-Log in-Checkout
227846,3616436,Annual,Coupon
228059,71694-71710-73455-73557-82648-147076-198608-211275-217794-217865-284122-302506-302883-547804-548234-807719-1172065-1786842-2083423-2259178-2310245-2353132-2683018-2703314-2729097-3144211-3171623-3601625-3641986-3707094-3708671-3726101-3738997-3743666-3743770,Annual,Log in-Sign up-Log in-Courses-Log in-Sign up-Log in-Checkout-Log in-Coupon-Log in-Checkout
229602,4741988-4827859-4834063,Annual,Other-Coupon
230961,2114851-3854344-3858121-3958312-4009603-4036323-4063198-4081953-4180157-4180165-4203940-4245692-4247227-4247237-4247361-4247372-4247381-4247596-4248040-4258988-4489063-4510958-4655484-4688711,Annual,Other-Homepage-Sign up-Log in-Homepage-Log in-Checkout-Homepage-Log in-Checkout-Homepage-Log in-Checkout
233544,3568724-4774708-4775100-4804211-4804225-4804240-4804293-4804435-4805380-4805385,Annual,Homepage-Log in-Homepage-Log in-Checkout-Log in-Checkout
235712,188823-3599697-3810946-3811342-3812328-3812329-3846688-3891143-3891188-3891231-3891239-3901229-3901320-3901407-3901549-3906252-3906256,Annual,Log in-Homepage-Career track certificate-Homepage-Pricing-Career tracks-Sign up-Career tracks-Homepage-Pricing-Homepage-Pricing-Log in-Homepage-Career tracks-Courses-Career tracks-Courses-Log in-Homepage-Log in-Checkout
236893,47883-47906-47971-47994-572250-4461363-4461384,Quarterly,Homepage-Pricing-Log in-Homepage-Pricing-Courses-Pricing-Success stories-Homepage-Pricing-Homepage-Sign up-Log in-Homepage-Pricing-Homepage-Pricing-Log in-Checkout
237247,3698231-3699590,Annual,Homepage-Log in-Checkout
244110,2599384-4169356-4169473-4183928-4292889-4749312-4780839-4780889,Annual,Coupon-Homepage-Career tracks-Sign up-Other-Sign up-Log in-Homepage-Log in-Homepage-Course certificate-Sign up-Course certificate-Log in-Other-Blog-Log in-Checkout
244693,94203-514726-537172-1917530-3767111,Annual,Homepage-Log in-Homepage-Log in-Homepage-Pricing-Log in-Coupon
247070,784051-4814058-4827345-4827470,Annual,Homepage-Pricing-Blog-Other-Log in-Homepage-Course certificate-Career track certificate-Homepage-Log in-Checkout
248835,1471845-1708761-2211792-2731188-2731223-3395179-3549056-3615987,Annual,Homepage-Log in-Other-Homepage-Log in-Coupon-Homepage-Pricing-Career tracks-Log in-Homepage-Log in-Coupon
249736,1117593-1117658-1225048-1226207-1358026-1384232-1740747-4774826-4834308-4834370-4834379-4834425,Annual,Log in-Other-Sign up-Log in-Courses-Log in-Homepage-Log in-Courses-Log in-Homepage-Log in-Homepage-Courses-Career track certificate-Upcoming courses-Log in-Checkout
250430,3616473,Annual,Coupon
253512,4694176-4756248-4756260-4756328-4756425-4756437,Annual,Log in-Checkout-Homepage-Sign up-Log in-Checkout
255892,103899-103902-110274-1114825-3520714-3613405-3613544,Annual,Pricing-Log in-Pricing-Log in-Courses-Log in-Homepage-Log in-Homepage-Log in-Checkout
256301,2842693-3671543-3671571-3671582-3672983-3673591-3673837-3673975-3674072,Monthly,Homepage-Course certificate-Upcoming courses-Course certificate-Upcoming courses-Career tracks-Career track certificate-Courses-Log in-Homepage-Career track certificate-Course certificate-Career tracks-Course certificate-Courses-Sign up-Courses-Sign up-Checkout
256312,3600681-3601102,Annual,Coupon
258989,4077968-4087562-4119986-4327132-4343378-4383118-4383504-4385546-4385563-4385744,Monthly,Homepage-Resources center-Other-Courses-Sign up-Courses-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Courses-Sign up-Resources center-Other-Sign up-Checkout
260579,3867430-3890828-3894506-3909436,Monthly,Homepage-Career tracks-Pricing-Log in-Sign up-Checkout-Coupon
261077,731996-3227814-3461209,Annual,Log in-Resources center-Other-Homepage-Log in
261624,477749-1691440-3758146-3783659,Annual,Homepage-Pricing-Career tracks-Sign up-Log in-Coupon-Checkout
262246,1070931-1449615-1450807-2316142-2316148-2316155-2316559-2461967-2535103-2535137-2536597-2538110-4365159-4365183,Monthly,Homepage-Log in-Other-Success stories-Resources center-Log in-Homepage-Log in-Checkout
262728,3632756-3643402,Annual,Log in-Checkout
262999,2932577-3960607,Annual,Log in-Checkout
263101,192535-192616-193027-2937684-2937920-3738134-3738238,Annual,Homepage-Log in-Homepage-Resources center-Courses-Career track certificate-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Course certificate-Homepage-Pricing-Checkout-Homepage-Log in-Checkout
266371,1540421-1540764-1701320-1720578-1816293-2047110-2370516-2439059-2474989-2560508-2796366-3037169-3151521-3502448-3803993-3804080-3804442-3816352-3829778,Annual,Other-Log in-Other-Log in-Other-Log in-Pricing-Log in-Homepage-Log in-Homepage-Courses-Sign up-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Homepage-Log in-Pricing-Checkout-Courses-Career tracks-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Coupon
267025,78148-1304838-2314205-2461450-3720368,Annual,Homepage-Log in-Homepage-Log in-Coupon
267334,3518995-3520024-3541546-3541565-3543280,Monthly,Homepage-Courses-Course certificate-Courses-Homepage-Courses-Log in-Courses-Sign up-Checkout
267719,2379175-2716781-3108582-3691475-4158352-4495380-4682019-4777852,Monthly,Career tracks-Sign up-Log in-Checkout-Log in-Checkout
267955,1213352-1846281-1936208-1936245-2329968-2443425-2489605-2503781-2553363-2659385-2668372-2668416-2759837-2793343-2837493-2978149-2985189-3112051-3215064-3422877-3424244-3431391-3460643-3468573-3470200-3476678-3477203-3480912-3480913-3480914-3501422,Annual,Other-Homepage-Log in-Courses-Log in-Other-Log in-Checkout-Log in-Homepage-Upcoming courses-Pricing-Checkout-Homepage-Pricing-Checkout-Resources center-Courses-Resources center-Other-Log in-Checkout-Coupon-Resources center-Coupon-Sign up-Coupon
269209,2888863-3212142-3212152-3605649,Annual,Log in-Resources center-Log in-Resources center-Log in-Coupon
269345,1124121-1216025-1224693-4515190-4837893-4839273,Annual,Other-Log in-Homepage-Log in-Checkout
270317,3545698-3637843,Annual,Homepage-Sign up-Checkout
271000,4734178-4734190,Annual,Homepage-Log in-Coupon
271778,3586272,Annual,Coupon
272443,770223-1142665-1846121-1987752-1987904-2223968-2327239-2337116-2378750-2417887-2423386-2745709-2964719-3196343-3262828-3298889-3323828-3611235-3630212-3630634-3798584-3844613-3876328-3888429-3888444-3899099-3910879-4001970-4041388-4075590-4088789-4111882-4111949-4111957,Monthly,Log in-Other-Log in-Resources center-Log in-Homepage-Log in-Checkout-Log in-Checkout-Log in-Checkout
273256,478404-514738-514740-2869318-2869646-2869675-3426498-3581387-3581396-3589762-3598358-3607544-3644248-3645589-3647408,Annual,Log in-Pricing-Log in-Homepage-Sign up-Log in-Homepage-Log in-Career tracks-Pricing-Resources center-Log in-Homepage-Log in-Homepage-Log in-Checkout
274222,3610106-3610122-3610662-3610710-3610830,Annual,Homepage-Courses-Coupon-Homepage-Log in-Checkout
274586,112275-1207009-2334726-2983632-4697605-4793761,Annual,Coupon-Pricing-Sign up-Log in-Homepage-Sign up-Coupon
275657,3797441-3824025-3827950,Monthly,Other-Homepage-Pricing-Checkout-Coupon
277395,24555-366650-391305-453582-678959-4139926-4139929-4406510-4407072,Monthly,Homepage-Log in-Homepage-Pricing-Courses-Log in-Courses-Course certificate-Homepage-Pricing-Homepage-Courses-Upcoming courses-Courses-Sign up-Log in-Homepage-Pricing-Courses-Upcoming courses-Courses-Homepage-Courses-Upcoming courses-Resources center-Upcoming courses-Success stories-Career track certificate-Resources center-About us-Other-Homepage-Log in-Checkout
278099,62293-62388-4844807-4844847,Annual,Homepage-Career tracks-Sign up-Coupon-Checkout
278257,69643-2073696-2100138-2558331-2937678-3585844,Annual,Log in-Other-Log in-Coupon
279567,4326539-4391386-4391577-4391683,Annual,Pricing-Career track certificate-Pricing-Resources center-Homepage-Courses-Career tracks-Career track certificate-Course certificate-Other-Courses-Sign up-Log in-Coupon
279886,151809-170678-247441-248477-251331-257110-257300-257306-262671-282675-354230-382658-382668-383138-384539-387719-387720-403420-439543-440282-474505-495580-502509-506015-905946-905955-913439-913486-913646-913804-914065-914569-914837-917623-921919-929243-933309-937527-941012-1064053-1067602-1067606-1067610-1770275-1770293-1770929-1771044-1771163-2008589-2009676-2013081-2017919-2102465-2102570-2195873-2196026-2373331-2463533-2499114-2514402-2515726-2549225-2552836-2557765-3020415-4229360-4259481-4259620-4259720-4287498-4291428-4291465-4295268-4296625-4296641-4363595-4392895-4484559-4615880-4617464-4634001-4654439-4658054-4720057-4827442-4836250-4838472,Annual,Other-Log in-Homepage-Career tracks-Career track certificate-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Homepage-Success stories-Career track certificate-Homepage-Career tracks-Log in-Homepage-Career tracks-Courses-Log in-Homepage-Career tracks-Success stories-Homepage-Career tracks-Homepage-Career tracks-Courses-Pricing-Checkout-Success stories-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Other-Pricing-Homepage-Career tracks-Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Log in-Other-Sign up-Homepage-Pricing-Homepage-Career tracks-Courses-Career tracks-Pricing-Homepage-Career tracks-Courses-Career tracks-Log in-Homepage-Career tracks-Courses-Career tracks-Homepage-Pricing-Resources center-Career track certificate-Courses-Homepage-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Resources center-Courses-Pricing-Checkout-Pricing-Career tracks-Homepage-Resources center-Course certificate-Courses-Course certificate-Career track certificate-Course certificate-Courses-Homepage-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Homepage-Courses-Homepage-Courses-Log in-Courses-Pricing-Courses-Other-Courses-Other-Courses-Other-Log in-Other-Log in-Other-Homepage-Career tracks-Homepage-Career tracks-Other-Homepage-Pricing-Courses-Career track certificate-Career tracks-Courses-Career tracks-Pricing-Career tracks-Courses-Career tracks-Other-Log in-Career tracks-Homepage-Sign up-Homepage-Career tracks-Homepage-Coupon
280244,134896-176892-374288-424951-575737-828101-831829-3931552-4078917-4078942,Monthly,Homepage-Sign up-Homepage-Career tracks-Homepage-Career tracks-Pricing-Log in-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Career tracks-Sign up-Log in-Homepage-Sign up-Log in-Homepage-Log in-Homepage-Log in-Homepage-Career tracks-Homepage-Sign up-Log in-Checkout
